,scopus_id,author
434,7006242309,"O'Connell, Edward J."
435,24613044900,"Walster, Elaine"
436,7402125327,"Mueller, William J."
437,57188897273,"Hall, Jay"
438,7410000635,"Williams, Martha S."
439,25952410200,"HOFFMAN, L. RICHARD"
440,25956321900,"MAIER, NORMAN R."
441,7006043917,"Buss, Arnold H."
442,6701324487,"Doob, Anthony N."
443,6602810927,"Veroff, Joseph"
444,25949716000,"FELD, SHEILA C."
445,57190058857,"Crockett, Harry"
446,7402398766,"Becker, Selwyn W."
447,56284158500,"Carroll, Jean"
448,7202481710,"Bryan, James H."
449,57196990500,"Lichtenstein, Edward"
450,25954603600,"Macauley, Jacqueline R."
451,25954518300,"Norris, Eleanor L."
452,56095758000,"Park, John N."
453,57208383729,"Smith, Anthony J."
454,6701671134,"Grusec, Joan E."
455,6602306825,"Goranson, Richard E."
456,7005272631,"Rosenfeld, Howard M."
457,57196747959,"Franklin, Samuel S."
458,16489252200,"Shaw, Marvin E."
459,25952026900,"Blum, J. Michael"
460,6603887690,"Ostrom, Thomas M."
461,7005495169,"Hoppe, W."
462,6602323992,"Gengel, Roy W."
463,7005313111,"Greenstein, Jules M."
464,56968288300,"Morris, John L."
465,16168943700,"Brown, Donald"
466,6602319965,"Yandell, R. James"
467,7006186932,"Gerard, Eugene"
468,57210067315,"Bechtel, Robert B."
469,6602702329,"SAKUMURA, JOSEPH S."
470,7201789556,"Price, Kendall O."
471,57205088727,"Harburg, Ernest"
472,7006542779,"Newcomb, Theodore M."
473,7402130367,"Burton, Roger V."
474,6504615360,"Allinsmith, Wesley"
475,7402966748,"Wallace, John"
476,25956890600,"Vaughan, Graham M."
477,57199321656,"White, Kenneth D."
478,7202879945,"Moore, Nancy"
479,57196695643,"Bishop, Doyle W."
480,7103026131,"Fiedler, Fred E."
481,24749838800,"Koen, Frank"
482,6602803903,"Carrigan, William C."
483,55732375200,"JONES, STEPHEN C."
484,36642141800,"Loh, Wallace D."
485,7202247062,"Levin, Leslie A."
486,57208458675,"Evans, Gary W."
487,7801359522,"Crumbaugh, Charles M."
488,6601957507,"Katahn, Martin"
489,6506305338,"Zeff, Leon H."
490,7103071959,"Masters, John C."
491,7007069685,"Gleason, Terry C."
492,7004905873,"Brehm, Jack W."
493,7201573707,"Cole, Ann H."
494,57197963532,"Whalen, Carol K."
495,36790456800,"Winkel, Gary H."
496,57199318864,"Weiss, Robert L."
497,24583779500,"Edelman, Robert I."
498,7003597669,"Zanna, Mark P."
499,25954017300,"Desalvo, James"
500,56630396800,"Levinger, George"
501,6602563587,"Breedlove, James"
502,55678854900,"Murphy, John T."
503,6602909869,"Marcia, James E."
504,25949487300,"Carlson, Rae"
505,7401948394,"Price, Mary A."
506,7005088694,"Blanchard, William A."
507,7202997526,"Duncan, Carey B."
508,6507123939,"GEIWITZ, P. JAMES"
509,24750802200,"Taft, Ronald"
510,6602153188,"Dustin, David S."
511,7006212574,"Baldwin, Patricia M."
512,55728504600,"Williams, John E."
513,7007083259,"Vernon, Jack"
514,6602165046,"Ghei, S. N."
515,6506756285,"Egerman, Karl"
516,6602642753,"Wohlford, Paul"
517,25953778400,"Berkowity, Leonard"
518,7003768894,"Geen, Russell G."
519,15038423000,"Turiel, Elliot"
520,7006747026,"Worthington, A. G."
521,56300503700,"Wilson, Paul R."
522,56265235100,"Russell, Paul N."
523,7005424988,"Penner, Donald D."
524,25954223000,"Fitch, Gordon"
525,7003539767,"Weick, Karl E."
526,6603786542,"Tuckman, Bruce W."
527,57198629303,"Williams, Allan F."
528,56295957900,"Moore, Marv"
529,35134274600,"Guthrie, Gerald"
530,16438506300,"WIENER, MORTON"
531,7003871609,"Hendrick, Clyde"
532,25954793300,"RETTIG, SALOMON"
533,6701508517,"Crowne, Douglas P."
534,6603561416,"SALTZSTEIN, HERBERT D."
535,25954888900,"Rowe, Preston B."
536,25954193700,"Greene, Martha E."
537,8914927300,"Elms, Alan C."
538,57198298955,"Kanungo, Rabindra N."
539,7402667343,"Dutta, Satrajit"
540,7004899004,"HOLZMAN, PHILIP S."
541,6602003428,"ROUSEY, CLYDE"
542,25954082000,"Gubar, George"
543,6506583196,"Passini, Frank T."
544,7007108634,"NORMAN, WARREN T."
545,6505950120,"Stefflre, Volney"
546,6504439709,"Vales, Victor C."
547,25954569800,"Morley, Linda"
548,57197377924,"Ramsay, R. W."
549,7101831950,"Moran, Gary"
550,7006014752,"Darley, John M."
551,7201761633,"Ross, Lee D."
552,6602905538,"Carlsmith, J. Merrill"
553,7201876119,"Collins, Barry E."
554,7006108931,"Helmreich, Robert L."
555,7004713414,"RIEGEL, KLAUS F."
556,6701502786,"RIEGEL, RUTH M."
557,7403088722,"Levine, Robert V."
558,16527550700,"Seeman, Julius"
559,6601936495,"Efran, Jay S."
560,7006082086,"Broughton, Andrew"
561,57203056309,"Clore, Gerald L."
562,25953602800,"Worchel, Philip"
563,7401939241,"Berg, Kenneth R."
564,57212743388,"Hardyck, Curtis D."
565,25954252100,"Kael, Howard C."
566,57202614499,"Bachman, Jerald G."
567,25953203200,"Smith, Clagett G."
568,6507005132,"Slesinger, Jonathan A."
569,25954177300,"Hagen, Richard L."
570,6602679326,"Shomer, Robert W."
571,25953944900,"Davis, Alice H."
572,7005427725,"Kelley, Harold H."
573,7401994607,"Holmes, Douglas S."
574,7103173190,"Simmons, Carolyn H."
575,7006311519,"Endler, Norman S."
576,7102161006,"Fishman, Daniel B."
577,25952137600,"Fraser, Scott C."
578,25955036400,"Wray, Nancy P."
579,7005337532,"Greenbaum, Charles W."
580,6506277449,"Wrightsman, Lawrence S."
581,57024925900,"Meltzer, Bert"
582,7404062807,"Murphy, Daniel F."
583,6602514095,"Swingle, Paul G."
584,24790258000,"Adelson, Joseph"
585,7103175684,"O'Neil, Robert P."
586,7003979937,"Rosenblatt, Paul N."
587,7004265324,"Rothbart, Mary K."
588,6603249894,"Foa, Uriel G."
589,25954456500,"Katz, Evelyn W."
590,6506910632,"Podell, Jerome E."
591,7103124158,"Krauss, Robert M."
592,24613320400,"WEINHEIMER, SIDNEY"
593,25953761800,"Davis, William L."
594,25954435000,"Kerlinger, Fred"
595,24800728300,"Rokeach, Milton"
